paper_id,pred_score,pred_decision,originality,importance,claims_supported,soundness,clarity,community_value
3wMdHl7JQ6,2.5,Reject,3,3,1,1,2,2
MwuSvrthXq,7.0,Accept,4,4,3,4,3,4
IHyY6vdYZw,7.0,Accept,3,4,4,4,4,4
7yvz93kBw9,6.0,Accept,3,3,3,3,3,3
BGEdvJ35PV,6.0,Accept,3,4,3,3,4,4
0aBAAS0rRT,4.5,Reject,3,4,2,2,3,3
GiaF5cFIpI,5.5,Reject,4,5,3,3,4,4
NlHHlqP1zk,5.5,Accept,3,4,3,3,3,4
IdJakw2jta,6.0,Accept,4,4,3,3,4,4
c339hUw3cy,6.5,Accept,3,4,3,3,3,4
NIvqiJ8R4J,4.0,Reject,3,4,2,2,3,3
0zKfU1rsXd,7.5,Accept,4,4,3,4,3,4
3YKeB9R1g9,7.0,Accept,3,4,4,3,4,4
Xpj0yeMhpz,6.0,Accept,4,3,3,3,3,4
FlcMckO6x5,6.0,Accept,3,4,3,3,4,4
rI2Fa13fUL,7.0,Accept,3,4,3,4,3,4
WxTlAbRUE6,6.5,Accept,4,4,3,3,4,4
TX4k7BF6aO,6.0,Accept,3,4,3,3,3,4
rzGEfYr2ZC,5.5,Accept,3,3,3,3,4,3
JEN4nsDgh9,4.5,Reject,3,3,2,3,3,4
HHYd4Pz5Lp,7.5,Accept,4,4,3,4,4,4
RtS4UqSmNt,7.5,Accept,4,4,3,4,4,4
Me0n0iESJY,5.5,Accept,3,4,2,3,3,4
R8y089OGoo,7.0,Accept,4,4,3,4,4,4
4Nsx2kZkex,2.0,Reject,3,3,1,1,2,2
kpLRYtPGt3,7.5,Accept,4,4,3,4,4,4
XHzrBDzKaX,6.5,Accept,3,4,4,3,4,4
lbLAgGF8OO,7.0,Accept,4,4,3,4,3,4
JjJzbMDGsx,7.5,Accept,4,4,4,4,4,4
Wes9HF3ppt,6.5,Accept,4,4,3,3,4,4
3V559xWIWc,7.5,Accept,4,4,4,3,4,4
blFpxJ3A08,3.5,Reject,2,3,2,2,2,3
c2ozZYoZFd,8.0,Accept,4,5,4,4,4,5
jJedqisfOt,5.5,Accept,3,4,3,3,3,4
6rz7VyAatm,6.5,Accept,3,4,3,4,4,4
aiM6bRd6bG,5.5,Accept,4,4,3,3,3,4
ck0aZTAnwK,6.5,Accept,4,4,3,3,4,4
Y9TgNFsNyP,5.5,Accept,4,4,3,3,4,4
Dxb9zYD23D,5.0,Reject,4,4,2,3,4,3
wSbVv6xaRr,6.0,Accept,4,4,3,3,3,4
bH5M0ts8Y6,6.0,Accept,4,4,3,3,3,4
v4bQPw4aTW,6.5,Accept,3,3,4,4,4,3
crKJJ4Ej60,5.5,Reject,4,4,2,3,3,3
tswBfpkwHn,7.5,Accept,4,4,4,4,4,4
RlMCc0JTu4,1.5,Reject,3,3,1,1,1,1
yR5QX5cTEy,7.0,Accept,4,4,3,4,3,4
vPSiCA3CkD,7.5,Accept,4,4,3,4,4,4
N8ntZEb4Ap,5.0,Reject,3,4,2,3,3,3
TgLW2DiRDG,6.5,Accept,4,3,3,4,4,4
Xn33bU71m4,3.0,Reject,3,3,1,2,2,2
x6iodYWNty,7.0,Accept,4,4,3,4,4,4
YETCQLcKtn,5.5,Accept,4,4,2,3,4,3
GMlZt4fZSY,6.0,Accept,3,4,3,3,4,4
d2pUyiXwcm,7.0,Accept,4,4,3,4,3,4
KDIgNmK8YT,3.5,Reject,2,4,2,2,3,3
YvMkU4BYOA,4.5,Reject,3,3,2,2,4,3
mytIKuRsSE,7.0,Accept,4,4,4,4,4,4
dCtkwjkK0E,4.5,Reject,3,4,2,2,3,3
P1qlqfRtgo,3.0,Reject,1,3,2,2,2,2
ngfIm9aPsH,6.0,Accept,3,4,3,3,3,4
2cq8FyBfDk,6.5,Accept,4,4,3,3,3,4
kMfVTka2WB,3.0,Reject,2,2,2,2,2,2
5T1vMQldr8,5.0,Reject,3,4,2,3,3,3
pW6rFymZ8F,6.5,Accept,3,4,3,3,3,4
AdfEHMueyc,4.5,Reject,3,3,2,3,3,3
Q5SSA6IonA,6.0,Accept,3,3,3,3,3,4
ZKkeA1G935,6.0,Accept,3,4,3,3,4,4
doxBjZ88H3,6.0,Accept,4,4,3,3,3,4
wUzBBsrdB1,7.0,Accept,4,4,3,3,4,4
Rj5ZJk956j,6.5,Accept,4,4,3,3,4,4
0TmVqOpBbK,6.5,Accept,3,4,3,3,4,4
4nOZBufbLC,6.5,Accept,4,4,3,3,4,4
t5Nd4HiI3E,6.5,Accept,4,4,3,3,4,4
0K4jNe8ik9,4.0,Reject,3,3,2,2,3,3
yBFXOZPESZ,6.5,Accept,3,4,4,4,3,4
EbSkBZQF9g,2.0,Reject,2,3,1,1,2,1
R0ZKcQlF2C,5.0,Reject,3,4,2,3,4,3
5DpzzTPnJZ,6.0,Accept,4,4,3,3,3,4
23Ea4fVGiI,4.5,Reject,3,4,3,3,4,3
ZNAY3ivd62,6.0,Accept,3,3,3,3,3,4
VFaYukYt6K,5.5,Accept,4,4,3,3,4,4
Olc7XhgstJ,6.5,Accept,4,4,3,3,3,4
GiItKTlJIB,5.0,Reject,3,4,2,2,3,3
BzqkbJTsbq,4.5,Reject,3,4,2,2,3,3
0JLUFJMo5p,1.5,Reject,2,3,1,1,1,1
heVn5cNfje,6.5,Accept,3,4,3,3,4,4
zftquoHTgS,6.0,Accept,3,4,3,3,4,4
ey7CXUBn1g,6.0,Accept,3,4,3,3,3,4
0obDxMfeYu,5.5,Reject,3,4,3,3,3,4
q0UEl3xAIZ,4.0,Reject,2,3,2,3,3,2
zqA7Q9Q21L,7.0,Accept,4,3,3,3,4,4
UDIYU1X3vC,6.5,Accept,3,4,3,3,4,4
ZMzha5gbnF,7.0,Accept,4,4,3,4,4,4
xVB9AivJa5,4.0,Reject,3,4,2,2,3,3
O75R5yyw4R,7.0,Accept,4,4,3,4,3,4
55GsILa8c9,6.0,Accept,3,4,3,4,4,4
iaoAKDRAJQ,7.0,Accept,4,3,4,4,3,4
UJ2UUjT2ko,7.5,Accept,4,4,4,4,4,4
XIAta0WOJ6,7.0,Accept,4,4,3,3,4,4
ecbEfXdqrV,6.0,Accept,3,3,4,4,3,4
vGkXf8nvt9,6.0,Accept,4,4,3,3,3,4
CNrU5kGJYG,6.0,Accept,4,4,3,3,4,4
GODFBZhFcX,6.5,Accept,4,4,3,3,4,4
sh1hWO9RHo,5.5,Reject,3,4,3,3,4,4
r5jxDjYeO4,6.5,Accept,4,4,3,4,3,4
WhO6Km5Rku,4.5,Reject,3,3,2,2,2,3
Pxd5mjwznl,2.0,Reject,2,2,1,1,2,1
MQmrcX5jnk,7.0,Accept,4,4,3,4,3,4
LD6B7AvkZq,5.5,Accept,3,4,3,3,4,4
8KcjEygedc,7.0,Accept,4,4,3,4,3,4
4Ha2srdhPN,7.0,Accept,3,4,3,3,4,4
1j0ormf8uI,7.0,Accept,3,4,3,4,3,4
WwDNiisZQm,7.0,Accept,3,4,4,4,4,4
Rip3EJc4nx,4.0,Reject,3,3,2,2,3,3
M14YpuTejd,7.0,Accept,3,4,3,3,4,4
DAPcmFcqgd,3.0,Reject,2,3,2,2,3,2
iDki7djO2K,5.5,Accept,4,4,3,3,4,4
Ksvv8x00eo,6.5,Accept,4,4,3,3,3,4
2PJkG6aV4A,7.0,Accept,4,4,4,3,4,4
fD9YRHazW3,6.0,Accept,4,4,3,3,4,4
JdVTWjjnR6,5.5,Accept,3,4,2,3,3,3
8ZQ0HjBOEc,4.5,Reject,3,4,2,3,2,3
5SQo2E9Ujj,2.0,Reject,2,3,1,2,2,2
dbYvP2BKCM,5.5,Accept,4,4,3,3,4,4
SsUjdSVdUl,7.0,Accept,3,3,4,4,3,4
YuxgSGFaqb,4.5,Reject,3,4,2,2,3,3
rBj2iVyrhh,6.0,Accept,3,4,3,3,3,4
VSDV0SWwOC,6.5,Accept,4,4,3,3,3,4
beV5wMTRIq,4.0,Reject,2,4,2,2,3,3
Yo7eG3lC3y,5.5,Accept,3,4,3,3,4,3
nxmBUymHIQ,5.5,Accept,3,3,3,3,4,3
Rd0yhdfueL,2.5,Reject,2,3,1,2,2,2
9X2NfyZpR2,6.0,Accept,4,4,3,3,3,4
1EdAn5gMVv,6.0,Accept,3,4,3,3,4,4
Hf7jMztvve,3.5,Reject,3,4,2,2,3,3
4S5x8yhJ5H,5.5,Accept,3,4,3,3,4,4
KsWRLyIAKP,4.5,Reject,3,3,2,3,4,3
2za3iNkwXn,6.5,Accept,3,4,3,3,4,4
IOKftyz5iP,4.5,Reject,3,4,2,3,3,3
H1s6SBhzlg,6.0,Accept,4,4,3,3,4,4
eETr3lrOQB,6.0,Accept,3,4,3,3,4,4
DZUehXNiBn,5.5,Accept,3,4,3,3,4,4
fBc9v8CVvm,7.0,Accept,3,4,4,4,4,4
OJupg4mDjS,6.5,Accept,4,4,3,3,4,4
O6n4dgTBBL,2.5,Reject,3,4,1,1,3,2
D5PJX02Jki,6.0,Accept,4,4,3,3,4,4
BiXwSIIMIq,6.0,Accept,4,4,3,3,3,4
5asbtzIVpS,5.5,Reject,4,4,2,2,4,3
6Y9NP1qhoM,6.5,Accept,3,4,3,3,3,4
6RQsAQEUib,5.0,Reject,3,4,3,3,3,4
nzkObUsajY,4.5,Reject,3,3,2,3,3,3
QSPKIO3XV8,5.0,Reject,3,3,2,3,4,3
r5Ii1GTEWj,2.0,Reject,2,4,1,1,2,1
BDNctVKwuD,7.0,Accept,4,4,3,4,3,4
txiGUfI4yF,5.0,Reject,3,3,2,3,4,3
nnwvwge40d,7.0,Accept,4,4,4,3,3,4
klB3AvQZqJ,6.0,Accept,3,4,3,3,4,4
yjrVOxjkDR,7.0,Accept,4,5,4,4,4,4
0kHbD6ad07,7.0,Accept,4,4,3,4,3,4
5H8kxW0Efk,6.5,Accept,4,4,3,3,4,4
j3htU5i01r,6.5,Accept,3,3,4,4,4,3
GE0b5aQAvm,3.5,Reject,2,2,2,2,2,2
DB2KJKFX0d,5.5,Accept,4,4,3,3,3,3
VbTLgEUocp,6.0,Accept,4,4,3,3,5,4
ZZFNyU3ZSo,5.5,Accept,3,3,3,3,4,3
uXecy0nKiJ,6.5,Accept,4,5,3,3,4,4
4VW9HVCRw0,6.5,Accept,4,4,3,3,4,4
HvFpfea8XA,5.0,Reject,3,4,2,2,4,4
cVX3VqO8BO,3.5,Reject,3,4,2,2,3,3
HwyYpLxY0G,5.0,Reject,3,4,2,3,4,3
RNe17WTR38,6.0,Accept,3,4,3,3,4,4
4iu9Lj0Ist,5.5,Reject,4,4,2,3,3,4
6vX0LH9Yt7,4.5,Reject,3,3,2,3,4,3
c7OsKOOZo8,6.5,Accept,3,4,3,3,4,4
zHdKaF3ZM7,4.5,Reject,4,4,2,2,3,3
40sQXprYlm,4.5,Reject,4,4,2,3,3,3
FMjeC9Msws,7.5,Accept,3,5,4,4,4,5
TBsTStMK41,5.0,Reject,3,5,3,3,3,4
f4B4ohWO53,4.0,Reject,3,3,2,2,3,2
FtL9eEmU6v,6.5,Accept,4,4,3,3,3,4
NFB4QGGS65,7.5,Accept,4,4,4,3,4,4
uP6RDWHcs7,6.0,Accept,3,4,3,3,4,3
qSak1Hjfdq,6.5,Accept,4,4,3,3,3,4
y7VeiCT7HG,5.5,Accept,4,4,3,3,4,4
RpDJz00zNh,6.0,Accept,3,4,3,3,4,4
cu6xWUNOzQ,7.0,Accept,3,4,4,4,3,4
FF9QVQduAu,6.5,Accept,3,4,3,3,4,4
a3sRspQ62b,6.0,Accept,3,4,3,3,3,4
2EQPpEZtEK,5.5,Accept,4,4,3,3,4,4
tucuU4sQ3s,7.0,Accept,3,4,3,3,4,4
YADyx3ieUX,4.5,Reject,4,3,2,2,3,3
eu3PwSle8J,6.0,Accept,3,4,3,3,4,4
yBpzF8hp3J,6.5,Accept,4,4,3,3,4,4
bxZUPQbvp0,6.0,Accept,3,4,3,3,4,4
pn2H6YeOv2,7.5,Accept,4,4,3,4,4,4
7gLNA6nT5d,5.0,Reject,3,4,2,2,4,3
4hkMvkzai5,6.0,Accept,4,4,3,3,3,4
RDAhLHEHDm,5.5,Accept,3,4,3,3,4,4
v05SW2X3IC,5.5,Accept,4,4,3,3,4,3
XKLPlnfZzM,6.5,Accept,4,4,3,3,3,4
khBHJz2wcV,7.0,Accept,4,4,3,3,4,4
lWdxX5s9T1,7.0,Accept,4,4,3,3,4,4
a7Qa4CcHak,6.5,Accept,3,4,4,3,3,4
XX5EZoe4ec,4.5,Reject,3,4,2,3,3,3
IFCUMN8Fp1,5.5,Accept,4,4,3,3,3,3
31CznLfRIS,6.0,Accept,4,4,3,3,4,4
36CzrZYEch,6.5,Accept,4,4,3,3,3,4
k6nTUFoqeT,7.5,Accept,4,4,3,4,3,4
qCfYOLAzti,6.5,Accept,4,4,3,3,4,4
a2XmC7rHIU,8.5,Accept,4,5,5,4,4,5
MrJoBgN1VO,5.0,Reject,3,4,2,3,2,4
OuMNJoKJBQ,5.0,Reject,3,4,2,3,3,3
N7ziRPTNdT,6.5,Accept,4,4,3,4,4,4
LHSea6DI8U,6.0,Accept,3,4,3,3,4,4
KAZpuq2W4Y,5.0,Reject,3,4,3,3,3,3
WgMZPsdJmC,3.0,Reject,2,2,2,2,1,2
ao7VBbvWIK,2.0,Reject,2,3,1,1,3,2
zwfpyw345l,1.5,Reject,2,3,1,1,1,1
m18MXVdrV9,7.5,Accept,4,4,3,4,4,4
bwtiK0yjuK,6.5,Accept,4,3,3,3,4,3
GMP1S4R6Ke,4.5,Reject,3,3,2,2,2,3
sSbEEHNEsL,7.5,Accept,3,4,4,4,4,4
m7gNW26Zih,3.0,Reject,1,3,2,2,3,2
zt7IPzsXrT,7.0,Accept,3,4,3,3,3,4
Vgm77U4ojX,7.5,Accept,4,5,3,3,4,5
ZF0xRAdsuY,6.5,Accept,4,4,3,3,4,4
USyGD0eUod,6.5,Accept,3,5,4,4,3,5
Gk7gLAtVDO,7.0,Accept,4,4,3,4,4,4
qkKUG56s5r,4.5,Reject,3,4,2,2,3,3
Mz98kwANpF,6.5,Accept,4,4,3,3,3,4
opU91paIvZ,4.5,Reject,3,4,2,2,3,3
mGeeRFToaW,6.0,Accept,4,4,3,3,3,4
X2yzXtH4wp,6.5,Accept,3,4,3,3,4,4
PFhrOUJZ5o,5.5,Borderline Accept,3,4,3,3,3,4
NcvmuiLuZn,5.5,Reject,3,4,3,3,3,3
lJ7zecny2e,6.5,Accept,4,4,3,3,4,4
TADsPhlp32,4.5,Reject,3,4,2,2,3,3
NfO2Lt2WY7,5.0,Accept,3,3,3,3,4,3
UESTP6dR1K,6.0,Accept,4,4,3,3,4,4
lJqssVKeR7,6.5,Accept,4,4,3,3,3,4
MPhnlqdU9Z,5.5,Accept,4,4,3,3,4,4
2uTxLC4LmC,6.5,Accept,4,4,3,3,4,4
TjF9WLcu8o,2.0,Reject,2,3,1,1,1,1
oh9ChF7Pv0,5.5,Reject,4,4,3,3,4,4
abgW71sKIt,5.5,Reject,3,4,3,3,3,3
0nvQ5kHXf4,5.5,Accept,3,4,3,3,3,4
pNpnqsn0Si,5.5,Accept,4,3,2,3,3,3
W42oLSwI9p,4.5,Reject,3,3,2,3,2,3
HA8vzzT6Ax,7.5,Accept,4,4,4,4,4,4
QIIrjgUnL1,3.5,Reject,2,3,2,2,3,2
jZcWBV3Pis,5.5,Accept,3,4,3,4,4,3
9h2c2rMSY1,5.5,Accept,3,3,3,4,3,4
yPfBP3EFGG,4.0,Reject,3,3,2,2,3,2
FDlvVdh1sB,6.5,Accept,4,4,3,4,3,4
A4Us8jxVGq,7.0,Accept,4,4,3,4,4,4
IU4rqTlpRb,6.0,Accept,4,4,3,3,4,4
cEXEmyW77N,6.5,Accept,3,4,4,3,4,4
20DsUSauCj,7.0,Accept,4,5,3,3,4,4
rRB1bYErbL,6.5,Accept,3,4,3,3,4,4
QnuJR7qA3z,5.5,Accept,3,4,3,3,4,4
a4S1nQay3b,6.0,Accept,4,4,3,3,3,4
ZBhZT307xx,6.0,Accept,3,4,3,3,4,4
zS1bPtMlt9,6.5,Accept,3,4,3,3,4,3
Ry8jLSYIUG,7.0,Accept,4,4,3,4,3,4
zKQSyT7a7n,6.5,Accept,4,4,3,3,4,4
cP9ciYglnI,6.0,Accept,3,3,3,3,4,3
AB3jM3iMaW,7.0,Accept,4,4,3,3,4,4
wA6dvVnKe8,5.5,Accept,3,4,3,3,3,4
CQ0U1wZYoy,7.0,Accept,4,4,3,3,4,4
xFo13SaHQm,7.0,Accept,4,4,3,3,4,4
dwgtYTuSaS,5.0,Reject,3,4,3,3,3,3
Ir0HMkRpYb,5.5,Accept,3,4,3,3,2,4
173Pq3F31r,6.0,Accept,4,4,3,3,4,4
QryPmx2MNh,4.5,Reject,4,3,3,2,3,3
0lW2UBiEWN,5.0,Reject,3,4,2,3,3,4
YS4N1YxXSM,7.5,Accept,4,4,4,4,3,4
b6miYNcjag,6.5,Accept,4,4,3,3,4,4
6P5sAycAQr,4.0,Reject,2,3,2,2,3,2
4fm4Rc5fUK,5.5,Accept,4,4,3,3,4,4
U6ROetm5nW,7.0,Accept,4,3,3,4,3,3
s7gSTR2AqA,7.5,Accept,4,4,3,4,4,4
oiz0QHejVj,5.5,Accept,3,3,3,3,3,3
cSpjHOf04S,7.0,Accept,4,4,3,3,4,4
U2SJE6W3wT,6.0,Accept,3,4,3,3,4,4
ahpO7S1Ppi,6.5,Accept,4,4,3,4,4,4
SA8xDYrUYB,5.0,Reject,3,3,2,3,4,3
IeNXtofK6T,6.5,Accept,3,4,4,4,4,4
lSM6MtjQcM,6.0,Accept,3,4,3,3,3,4
bhR00j6Mku,7.5,Accept,4,5,3,4,4,5
GFWfR4G5fm,6.5,Accept,4,4,3,3,3,4
3icvqeC1sA,5.0,Reject,3,4,2,3,3,3
1FCZ4f8dAY,6.5,Accept,4,4,3,4,3,4
1E4Bltg6Xb,4.5,Reject,3,3,2,2,3,3
IvG90aRAL0,6.0,Accept,3,3,3,3,3,3
oGbzk8xuVT,6.0,Accept,4,4,3,3,3,4
cZ74yWoKYr,7.0,Accept,3,4,3,3,3,4
Kw2mvnzCoc,6.0,Accept,4,4,3,3,4,4
qclNnbjxNJ,6.5,Accept,4,4,3,3,4,4
mDuTDAK6KU,3.5,Reject,3,4,2,2,4,2
xDO0239YOm,3.0,Reject,3,4,1,2,3,2
ppXAVexrAM,5.5,Accept,4,3,3,3,3,3
Y6lVVJHiwN,5.5,Accept,4,4,3,3,3,4
5qd7V5TNGV,5.5,Accept,4,4,2,3,4,3
GRufFX1gAy,6.0,Accept,4,4,3,3,4,4
wVGfJxM2Nz,4.0,Reject,2,4,3,3,4,3
bhPaXhWVKG,5.5,Accept,3,4,3,3,4,3
rajioNWfRs,6.0,Accept,3,4,3,3,4,4
iIEEgI6WsF,6.5,Accept,4,4,3,3,3,4
RNsydf7HB4,4.5,Reject,3,3,2,3,3,3
dIOYpj9K8P,6.5,Accept,4,5,3,3,4,5
5Y4wvlp923,2.5,Reject,3,3,1,1,2,2
05hNleYOcG,6.5,Accept,3,4,3,3,4,4
W4FAenIrQ2,6.5,Accept,3,4,3,3,3,4
mHRuCmc9lo,7.5,Accept,4,4,4,4,5,4
8J3GTeQmwl,7.0,Accept,4,4,3,3,4,4
ei1bRG971A,6.0,Accept,3,4,3,3,3,4
C6WWMryELL,5.0,Accept,3,4,3,3,3,4
CTEXdHB1BB,5.5,Accept,3,4,3,3,3,4
b6qQmQ2F13,6.5,Accept,3,5,3,3,3,4
zNH3Sf404X,3.5,Reject,3,4,2,2,3,3
Pa6ak2B9jJ,5.0,Reject,3,4,2,3,3,4
JEYWpFGzvn,6.5,Accept,3,4,3,4,4,4
mkl9iIXIr2,6.5,Accept,4,4,3,4,4,3
7L7kmHHfgf,4.5,Reject,3,4,2,3,3,3
yEpE0QPpf8,4.5,Reject,3,4,2,3,3,3
VgVeQpagf7,7.0,Accept,4,4,3,4,3,4
Bf4FeuW0Mr,8.0,Accept,4,4,4,4,4,4
ocmGsqQWG2,5.5,Accept,3,4,2,3,3,4
FkTEc3XEL6,2.5,Reject,2,3,1,1,2,2
65Ai8mLfjI,6.5,Accept,3,4,3,4,4,4
t33kMzEAg8,6.0,Accept,4,4,3,3,4,4
i9q9xDMjG7,5.0,Reject,3,4,2,3,3,4
VjGU55hEwV,4.5,Reject,3,3,2,3,2,3
0cbUKCyBsH,5.5,Accept,3,4,3,3,3,4
piylyBPSau,6.5,Accept,4,4,3,3,3,4
9wIVIjWn0F,4.5,Reject,3,3,2,2,3,3
41JeFWdVFa,5.5,Accept,3,4,3,3,4,3
0xHWd4CUaX,3.5,Reject,3,4,2,2,2,2
liDUSnwUVP,5.0,Reject,3,4,2,2,3,3
TjAhTNzRub,7.0,Accept,4,4,3,3,3,4
CFuNu8dK4s,6.5,Accept,3,4,3,3,3,4
6i1jVAYbHs,4.5,Reject,3,4,2,2,4,3
x6bG2Hoqdf,6.5,Accept,4,4,3,3,4,4
pI9n8wAR80,7.0,Accept,3,4,3,3,4,4
SpUXijnBEg,5.5,Accept,3,3,3,3,3,3
