paper_id,pred_score,pred_decision,originality,importance,claims_supported,soundness,clarity,community_value,gt_avg_score,gt_decision,gt_binary,match,cost,sdk_savings,gt_score_0,gt_score_1,gt_score_2,gt_score_3,gt_score_4,gt_score_5,gt_score_6
sJxBWDc8SM,6.5,Accept,3,4,3,4,4,4,3.5,Reject,Reject,NO,0.007923,0.0,2.0,2.0,4.0,6.0,,,
5o0zF03RP9,2.5,Reject,2,3,1,1,2,1,0.5,Withdrawn (treated as Reject),Reject,YES,0.018113,0.0,2.0,0.0,0.0,0.0,,,
qPbDM5L8tE,4.5,Reject,3,4,2,2,3,3,2.5,Reject,Reject,YES,0.008249,0.0,2.0,2.0,2.0,4.0,,,
e26MPyczN9,5.5,Reject,3,4,2,3,4,4,4.0,Reject,Reject,NO,0.008148,0.0,4.0,4.0,4.0,6.0,2.0,,
FEqZmGl36g,6.5,Accept,4,4,3,4,4,4,4.8,Reject,Reject,NO,0.020163,0.0,6.0,4.0,2.0,6.0,6.0,,
Vsgq2ldr4K,6.0,Accept,4,4,3,3,4,4,7.5,Accept (Oral),Accept,YES,0.009347,0.0,8.0,8.0,6.0,8.0,,,
SzXDuBN8M1,7.0,Accept,4,4,3,3,4,4,7.5,Accept (Oral),Accept,YES,0.011047,0.0,8.0,8.0,6.0,8.0,,,
gTMzRm8fb0,6.0,Accept,3,4,3,3,3,4,5.0,Accept (Poster),Accept,YES,0.022805,0.0,4.0,8.0,4.0,4.0,,,
pbbRmnFkjG,6.5,Accept,3,4,3,3,4,4,6.5,Accept (Poster),Accept,YES,0.007833,0.0,8.0,4.0,8.0,6.0,,,
70n4clRSTj,6.5,Accept,4,4,3,3,3,4,3.5,Withdrawn (treated as Reject),Reject,,0.0,0.0,2.0,2.0,8.0,2.0,,,
32mrjmaeMP,7.5,Accept,4,4,4,4,4,4,4.5,Accept (Poster),Accept,YES,0.00972,0.0,6.0,6.0,4.0,2.0,,,
nHrYBGujps,6.5,Accept,4,4,3,3,4,4,7.5,Accept (Oral),Accept,YES,0.007876,0.0,6.0,8.0,8.0,8.0,,,
khHNHzRjMy,5.5,Accept,4,4,3,3,4,4,3.0,Reject,Reject,NO,0.007645,0.0,6.0,2.0,2.0,2.0,,,
omg9K6lI93,3.5,Reject,3,4,2,2,3,3,1.0,Reject,Reject,YES,0.007247,0.0,2.0,0.0,2.0,0.0,,,
ulXBsAYSwU,4.0,Reject,2,4,2,2,4,3,1.33,Withdrawn (treated as Reject),Reject,YES,0.006947,0.0,2.0,2.0,0.0,,,,
Vit5M0G5Gb,7.5,Accept,4,4,3,4,4,4,6.0,Accept (Poster),Accept,YES,0.008414,0.0,8.0,6.0,4.0,6.0,6.0,,
CrCPeM5fRB,4.0,Reject,3,3,2,3,4,3,3.5,Reject,Reject,YES,0.00688,0.0,4.0,2.0,4.0,4.0,,,
VK5G3Ff4Ty,3.5,Reject,3,4,2,2,2,3,2.5,Reject,Reject,YES,0.007144,0.0,2.0,6.0,0.0,2.0,,,
1CR1MTIgmq,6.5,Accept,3,5,4,4,3,4,0.0,Reject,Reject,YES,0.006851,0.0,0.0,0.0,0.0,,,,
JhziZbaefH,4.5,Reject,4,4,2,3,3,3,2.5,Withdrawn (treated as Reject),Reject,YES,0.008471,0.0,2.0,2.0,4.0,2.0,,,
lZrZgZ9wIu,4.5,Reject,3,3,3,3,3,3,2.0,Reject,Reject,YES,0.00721,0.0,2.0,2.0,2.0,2.0,,,
jLO4pSi5Pt,7.0,Accept,4,4,3,4,4,4,5.0,Accept (Poster),Accept,YES,0.012917,0.0,4.0,6.0,4.0,6.0,,,
1PIfB5w05x,7.0,Accept,4,3,3,4,4,4,7.5,Accept (Poster),Accept,YES,0.008393,0.0,8.0,8.0,8.0,6.0,,,
cmzeMZNsmm,6.0,Accept,3,4,3,3,3,4,5.0,Reject,Reject,NO,0.009202,0.0,2.0,4.0,6.0,8.0,,,
4Mvdn1m861,4.5,Reject,3,3,2,3,3,3,3.5,Reject,Reject,YES,0.021626,0.0,2.0,4.0,4.0,4.0,,,
Q6TymStAvS,5.5,Accept,4,3,3,3,4,3,3.5,Reject,Reject,NO,0.00977,0.0,2.0,2.0,6.0,4.0,,,
KsmTaPygR9,7.0,Accept,4,5,3,3,4,4,5.5,Accept (Poster),Accept,YES,0.019109,0.0,4.0,8.0,6.0,4.0,,,
ikthqd3qF4,7.0,Accept,4,4,3,4,4,4,2.5,Reject,Reject,NO,0.007414,0.0,2.0,4.0,4.0,0.0,,,
b8TlYh6PN6,7.5,Accept,5,4,4,4,4,4,8.0,Accept (Oral),Accept,YES,0.023123,0.0,8.0,8.0,8.0,8.0,,,
3wMdHl7JQ6,2.5,Reject,3,3,1,1,2,2,1.0,Reject,Reject,YES,0.010272,0.0,2.0,0.0,0.0,2.0,,,
MwuSvrthXq,7.0,Accept,4,4,3,4,3,4,4.0,Reject,Reject,NO,0.008145,0.0,6.0,4.0,2.0,4.0,,,
IHyY6vdYZw,7.0,Accept,3,4,4,4,4,4,5.0,Accept (Poster),Accept,YES,0.009089,0.0,4.0,8.0,2.0,6.0,,,
7yvz93kBw9,6.0,Accept,3,3,3,3,3,3,6.0,Accept (Poster),Accept,NO,0.008047,0.0,6.0,6.0,6.0,,,,
BGEdvJ35PV,6.0,Accept,3,4,3,3,4,4,3.33,Reject,Reject,NO,0.022406,0.0,4.0,2.0,4.0,,,,
0aBAAS0rRT,4.5,Reject,3,4,2,2,3,3,5.33,Accept (Poster),Accept,NO,0.006934,0.0,6.0,4.0,6.0,,,,
GiaF5cFIpI,5.5,Reject,4,5,3,3,4,4,3.5,Reject,Reject,YES,0.008199,0.0,6.0,2.0,4.0,2.0,,,
NlHHlqP1zk,5.5,Accept,3,4,3,3,3,4,4.67,Reject,Reject,YES,0.008832,0.0,2.0,6.0,6.0,,,,
IdJakw2jta,6.0,Accept,4,4,3,3,4,4,4.5,Withdrawn (treated as Reject),Reject,YES,0.024272,0.0,4.0,6.0,4.0,4.0,,,
c339hUw3cy,6.5,Accept,3,4,3,3,3,4,4.0,Reject,Reject,NO,0.006784,0.0,6.0,2.0,6.0,2.0,,,
NIvqiJ8R4J,4.0,Reject,3,4,2,2,3,3,5.0,Reject,Reject,YES,0.009249,0.0,4.0,6.0,2.0,8.0,,,
0zKfU1rsXd,7.5,Accept,4,4,3,4,3,4,5.0,Accept (Poster),Accept,YES,0.00953,0.0,4.0,4.0,6.0,6.0,,,
3YKeB9R1g9,7.0,Accept,3,4,4,3,4,4,8.0,Accept (Poster),Accept,YES,0.009217,0.0,8.0,8.0,8.0,,,,
Xpj0yeMhpz,6.0,Accept,4,3,3,3,3,4,7.0,Accept (Poster),Accept,YES,0.012433,0.0,4.0,6.0,8.0,10.0,,,
FlcMckO6x5,6.0,Accept,3,4,3,3,4,4,6.0,Accept (Poster),Accept,YES,0.010351,0.0,6.0,8.0,4.0,6.0,,,
rI2Fa13fUL,7.0,Accept,3,4,3,4,3,4,5.0,Reject,Reject,NO,0.009483,0.0,6.0,6.0,4.0,4.0,,,
WxTlAbRUE6,6.5,Accept,4,4,3,3,4,4,2.5,Reject,Reject,NO,0.007068,0.0,2.0,4.0,2.0,2.0,,,
TX4k7BF6aO,6.0,Accept,3,4,3,3,3,4,5.33,Accept (Poster),Accept,YES,0.009578,0.0,4.0,4.0,8.0,,,,
rzGEfYr2ZC,5.5,Accept,3,3,3,3,4,3,0.0,Reject,Reject,NO,0.007716,0.0,0.0,0.0,0.0,,,,
JEN4nsDgh9,4.5,Reject,3,3,2,3,3,4,3.5,Reject,Reject,YES,0.021715,0.0,4.0,4.0,2.0,4.0,,,
HHYd4Pz5Lp,7.5,Accept,4,4,3,4,4,4,1.33,Withdrawn (treated as Reject),Reject,NO,0.008056,0.0,0.0,2.0,2.0,,,,
RtS4UqSmNt,7.5,Accept,4,4,3,4,4,4,6.5,Accept (Oral),Accept,YES,0.019514,0.0,8.0,2.0,8.0,8.0,,,
Me0n0iESJY,5.5,Accept,3,4,2,3,3,4,6.0,Accept (Poster),Accept,YES,0.010987,0.0,4.0,8.0,8.0,4.0,,,
R8y089OGoo,7.0,Accept,4,4,3,4,4,4,5.0,Accept (Poster),Accept,,0.0,0.0,4.0,4.0,6.0,6.0,,,
4Nsx2kZkex,2.0,Reject,3,3,1,1,2,2,1.0,Reject,Reject,YES,0.015838,0.0,0.0,2.0,0.0,2.0,,,
kpLRYtPGt3,7.5,Accept,4,4,3,4,4,4,7.0,Accept (Oral),Accept,YES,0.008663,0.0,6.0,8.0,6.0,8.0,,,
XHzrBDzKaX,6.5,Accept,3,4,4,3,4,4,5.0,Reject,Reject,NO,0.00954,0.0,4.0,8.0,4.0,4.0,,,
lbLAgGF8OO,7.0,Accept,4,4,3,4,3,4,7.5,Accept (Poster),Accept,,0.0,0.0,8.0,6.0,8.0,8.0,,,
JjJzbMDGsx,7.5,Accept,4,4,4,4,4,4,7.0,Accept (Poster),Accept,YES,0.007795,0.0,8.0,6.0,6.0,8.0,,,
Wes9HF3ppt,6.5,Accept,4,4,3,3,4,4,5.0,Reject,Reject,NO,0.023043,0.0,4.0,6.0,6.0,4.0,,,
3V559xWIWc,7.5,Accept,4,4,4,3,4,4,4.5,Reject,Reject,NO,0.023571,0.0,4.0,6.0,6.0,2.0,,,
blFpxJ3A08,3.5,Reject,2,3,2,2,2,3,1.0,Withdrawn (treated as Reject),Reject,YES,0.00673,0.0,2.0,2.0,0.0,0.0,,,
c2ozZYoZFd,8.0,Accept,4,5,4,4,4,5,2.67,Reject,Reject,NO,0.007751,0.0,2.0,4.0,2.0,,,,
jJedqisfOt,5.5,Accept,3,4,3,3,3,4,5.0,Accept (Poster),Accept,NO,0.008217,0.0,6.0,2.0,6.0,6.0,,,
6rz7VyAatm,6.5,Accept,3,4,3,4,4,4,3.5,Reject,Reject,NO,0.008906,0.0,0.0,6.0,2.0,6.0,,,
aiM6bRd6bG,5.5,Accept,4,4,3,3,3,4,4.0,Reject,Reject,YES,0.008787,0.0,4.0,2.0,6.0,4.0,,,
ck0aZTAnwK,6.5,Accept,4,4,3,3,4,4,7.5,Accept (Oral),Accept,YES,0.020885,0.0,6.0,8.0,8.0,8.0,,,
Y9TgNFsNyP,5.5,Accept,4,4,3,3,4,4,5.5,Reject,Reject,YES,0.009525,0.0,6.0,4.0,4.0,8.0,,,
Dxb9zYD23D,5.0,Reject,4,4,2,3,4,3,3.5,Withdrawn (treated as Reject),Reject,NO,0.008224,0.0,4.0,4.0,2.0,4.0,,,
wSbVv6xaRr,6.0,Accept,4,4,3,3,3,4,4.0,Withdrawn (treated as Reject),Reject,NO,0.010159,0.0,4.0,4.0,4.0,,,,
bH5M0ts8Y6,6.0,Accept,4,4,3,3,3,4,5.0,Accept (Poster),Accept,YES,0.009488,0.0,4.0,8.0,4.0,4.0,,,
v4bQPw4aTW,6.5,Accept,3,3,4,4,4,3,4.5,Reject,Reject,YES,0.00878,0.0,6.0,4.0,4.0,4.0,,,
crKJJ4Ej60,5.5,Reject,4,4,2,3,3,3,5.33,Accept (Poster),Accept,YES,0.008534,0.0,4.0,6.0,6.0,,,,
tswBfpkwHn,7.5,Accept,4,4,4,4,4,4,5.0,Reject,Reject,NO,0.009207,0.0,6.0,4.0,6.0,4.0,,,
RlMCc0JTu4,1.5,Reject,3,3,1,1,1,1,0.0,Reject,Reject,YES,0.005339,0.0,0.0,0.0,0.0,0.0,,,
yR5QX5cTEy,7.0,Accept,4,4,3,4,3,4,5.0,Reject,Reject,NO,0.009424,0.0,4.0,6.0,8.0,2.0,,,
vPSiCA3CkD,7.5,Accept,4,4,3,4,4,4,7.5,Accept (Poster),Accept,YES,0.008616,0.0,8.0,10.0,6.0,6.0,,,
N8ntZEb4Ap,5.0,Reject,3,4,2,3,3,3,2.33,Withdrawn (treated as Reject),Reject,,0.0,0.0,2.0,0.0,2.0,2.0,4.0,4.0,
TgLW2DiRDG,6.5,Accept,4,3,3,4,4,4,7.5,Accept (Oral),Accept,YES,0.009362,0.0,8.0,6.0,8.0,8.0,,,
Xn33bU71m4,3.0,Reject,3,3,1,2,2,2,1.33,Withdrawn (treated as Reject),Reject,YES,0.018762,0.0,2.0,2.0,0.0,,,,
x6iodYWNty,7.0,Accept,4,4,3,4,4,4,5.33,Accept (Poster),Accept,YES,0.007798,0.0,6.0,6.0,4.0,,,,
YETCQLcKtn,5.5,Accept,4,4,2,3,4,3,4.5,Accept (Poster),Accept,YES,0.008099,0.0,4.0,4.0,2.0,8.0,,,
GMlZt4fZSY,6.0,Accept,3,4,3,3,4,4,7.0,Accept (Poster),Accept,YES,0.009461,0.0,6.0,8.0,8.0,6.0,,,
d2pUyiXwcm,7.0,Accept,4,4,3,4,3,4,4.5,Accept (Poster),Accept,YES,0.028776,0.0,4.0,2.0,8.0,4.0,,,
KDIgNmK8YT,3.5,Reject,2,4,2,2,3,3,2.5,Reject,Reject,YES,0.007611,0.0,2.0,2.0,4.0,2.0,,,
YvMkU4BYOA,4.5,Reject,3,3,2,2,4,3,2.0,Reject,Reject,YES,0.008608,0.0,2.0,2.0,2.0,2.0,,,
mytIKuRsSE,7.0,Accept,4,4,4,4,4,4,7.5,Accept (Oral),Accept,YES,0.010407,0.0,8.0,8.0,6.0,8.0,,,
dCtkwjkK0E,4.5,Reject,3,4,2,2,3,3,2.0,Reject,Reject,YES,0.006885,0.0,2.0,2.0,2.0,2.0,,,
P1qlqfRtgo,3.0,Reject,1,3,2,2,2,2,2.0,Withdrawn (treated as Reject),Reject,YES,0.005774,0.0,2.0,2.0,2.0,2.0,,,
ngfIm9aPsH,6.0,Accept,3,4,3,3,3,4,5.5,Accept (Poster),Accept,YES,0.007235,0.0,4.0,6.0,6.0,6.0,,,
2cq8FyBfDk,6.5,Accept,4,4,3,3,3,4,3.2,Reject,Reject,NO,0.007031,0.0,2.0,0.0,4.0,4.0,6.0,,
kMfVTka2WB,3.0,Reject,2,2,2,2,2,2,2.0,Reject,Reject,YES,0.007109,0.0,2.0,2.0,2.0,2.0,,,
5T1vMQldr8,5.0,Reject,3,4,2,3,3,3,4.0,Reject,Reject,YES,0.008421,0.0,4.0,4.0,4.0,,,,
pW6rFymZ8F,6.5,Accept,3,4,3,3,3,4,5.0,Reject,Reject,NO,0.008323,0.0,6.0,6.0,4.0,4.0,,,
AdfEHMueyc,4.5,Reject,3,3,2,3,3,3,1.5,Reject,Reject,YES,0.007129,0.0,0.0,2.0,4.0,0.0,,,
Q5SSA6IonA,6.0,Accept,3,3,3,3,3,4,5.0,Reject,Reject,YES,0.00927,0.0,6.0,4.0,4.0,6.0,,,
ZKkeA1G935,6.0,Accept,3,4,3,3,4,4,4.0,Reject,Reject,YES,0.009422,0.0,4.0,4.0,4.0,2.0,6.0,,
doxBjZ88H3,6.0,Accept,4,4,3,3,3,4,4.5,Accept (Poster),Accept,YES,0.007321,0.0,6.0,6.0,2.0,4.0,,,
wUzBBsrdB1,7.0,Accept,4,4,3,3,4,4,5.0,Reject,Reject,NO,0.022442,0.0,8.0,4.0,6.0,2.0,,,
Rj5ZJk956j,6.5,Accept,4,4,3,3,4,4,4.67,Reject,Reject,NO,0.007383,0.0,4.0,2.0,8.0,,,,
0TmVqOpBbK,6.5,Accept,3,4,3,3,4,4,6.5,Accept (Poster),Accept,NO,0.008962,0.0,6.0,8.0,4.0,8.0,,,
4nOZBufbLC,6.5,Accept,4,4,3,3,4,4,5.6,Accept (Poster),Accept,YES,0.009991,0.0,4.0,6.0,6.0,4.0,8.0,,
t5Nd4HiI3E,6.5,Accept,4,4,3,3,4,4,4.0,Reject,Reject,YES,0.008725,0.0,4.0,2.0,4.0,6.0,,,
0K4jNe8ik9,4.0,Reject,3,3,2,2,3,3,1.0,Withdrawn (treated as Reject),Reject,YES,0.007614,0.0,0.0,0.0,2.0,2.0,,,
yBFXOZPESZ,6.5,Accept,3,4,4,4,3,4,4.0,Reject,Reject,NO,0.011116,0.0,4.0,6.0,4.0,2.0,4.0,,
EbSkBZQF9g,2.0,Reject,2,3,1,1,2,1,0.5,Reject,Reject,YES,0.017056,0.0,0.0,0.0,2.0,0.0,,,
R0ZKcQlF2C,5.0,Reject,3,4,2,3,4,3,4.0,Reject,Reject,YES,0.007927,0.0,4.0,2.0,6.0,,,,
5DpzzTPnJZ,6.0,Accept,4,4,3,3,3,4,5.0,Accept (Poster),Accept,YES,0.008403,0.0,6.0,4.0,4.0,6.0,,,
23Ea4fVGiI,4.5,Reject,3,4,3,3,4,3,0.67,Reject,Reject,YES,0.007176,0.0,2.0,0.0,0.0,,,,
ZNAY3ivd62,6.0,Accept,3,3,3,3,3,4,4.0,Reject,Reject,YES,0.010595,0.0,2.0,4.0,6.0,4.0,,,
ZNAY3ivd62,6.0,Accept,3,3,3,3,3,4,4.0,Reject,Reject,NO,0.002423,0.0,2.0,4.0,6.0,4.0,,,
VFaYukYt6K,5.5,Accept,4,4,3,3,4,4,3.33,Reject,Reject,NO,0.006761,0.0,2.0,4.0,4.0,,,,
Olc7XhgstJ,6.5,Accept,4,4,3,3,3,4,4.0,Reject,Reject,NO,0.007946,0.0,2.0,4.0,4.0,6.0,,,
GiItKTlJIB,5.0,Reject,3,4,2,2,3,3,3.0,Withdrawn (treated as Reject),Reject,YES,0.006825,0.0,2.0,4.0,2.0,4.0,,,
BzqkbJTsbq,4.5,Reject,3,4,2,2,3,3,3.5,Reject,Reject,YES,0.01011,0.0,4.0,2.0,4.0,4.0,,,
0JLUFJMo5p,1.5,Reject,2,3,1,1,1,1,1.0,Reject,Reject,YES,0.006272,0.0,0.0,2.0,0.0,2.0,,,
heVn5cNfje,6.5,Accept,3,4,3,3,4,4,3.5,Reject,Reject,NO,0.009525,0.0,4.0,2.0,4.0,4.0,,,
zftquoHTgS,6.0,Accept,3,4,3,3,4,4,4.0,Reject,Reject,NO,0.008107,0.0,8.0,2.0,4.0,2.0,,,
ey7CXUBn1g,6.0,Accept,3,4,3,3,3,4,3.0,Withdrawn (treated as Reject),Reject,YES,0.025119,0.0,2.0,2.0,4.0,4.0,,,
0obDxMfeYu,5.5,Reject,3,4,3,3,3,4,3.2,Reject,Reject,NO,0.010641,0.0,2.0,2.0,4.0,2.0,6.0,,
q0UEl3xAIZ,4.0,Reject,2,3,2,3,3,2,1.33,Reject,Reject,YES,0.019951,0.0,0.0,2.0,2.0,,,,
zqA7Q9Q21L,7.0,Accept,4,3,3,3,4,4,5.6,Accept (Poster),Accept,YES,0.007896,0.0,8.0,4.0,4.0,8.0,4.0,,
UDIYU1X3vC,6.5,Accept,3,4,3,3,4,4,4.8,Accept (Poster),Accept,YES,0.009818,0.0,6.0,6.0,4.0,6.0,2.0,,
ZMzha5gbnF,7.0,Accept,4,4,3,4,4,4,7.0,Accept (Poster),Accept,YES,0.010555,0.0,6.0,6.0,8.0,8.0,,,
xVB9AivJa5,4.0,Reject,3,4,2,2,3,3,1.33,Reject,Reject,YES,0.006654,0.0,0.0,2.0,2.0,,,,
O75R5yyw4R,7.0,Accept,4,4,3,4,3,4,4.67,Reject,Reject,NO,0.020385,0.0,4.0,4.0,6.0,,,,
55GsILa8c9,6.0,Accept,3,4,3,4,4,4,6.0,Reject,Reject,YES,0.009884,0.0,6.0,4.0,6.0,8.0,,,
iaoAKDRAJQ,7.0,Accept,4,3,4,4,3,4,6.0,Accept (Poster),Accept,YES,0.009873,0.0,8.0,4.0,6.0,6.0,,,
UJ2UUjT2ko,7.5,Accept,4,4,4,4,4,4,8.0,Accept (Poster),Accept,YES,0.007832,0.0,8.0,8.0,8.0,,,,
XIAta0WOJ6,7.0,Accept,4,4,3,3,4,4,6.0,Accept (Poster),Accept,YES,0.009614,0.0,8.0,6.0,6.0,4.0,,,
ecbEfXdqrV,6.0,Accept,3,3,4,4,3,4,3.0,Reject,Reject,NO,0.008271,0.0,2.0,4.0,4.0,2.0,,,
vGkXf8nvt9,6.0,Accept,4,4,3,3,3,4,4.67,Reject,Reject,NO,0.009856,0.0,4.0,6.0,4.0,,,,
CNrU5kGJYG,6.0,Accept,4,4,3,3,4,4,5.5,Accept (Poster),Accept,YES,0.008149,0.0,6.0,6.0,4.0,6.0,,,
GODFBZhFcX,6.5,Accept,4,4,3,3,4,4,4.5,Accept (Poster),Accept,YES,0.007102,0.0,6.0,2.0,6.0,4.0,,,
sh1hWO9RHo,5.5,Reject,3,4,3,3,4,4,4.5,Reject,Reject,NO,0.007577,0.0,4.0,4.0,6.0,4.0,,,
r5jxDjYeO4,6.5,Accept,4,4,3,4,3,4,4.5,Reject,Reject,NO,0.007244,0.0,4.0,4.0,4.0,6.0,,,
WhO6Km5Rku,4.5,Reject,3,3,2,2,2,3,4.0,Withdrawn (treated as Reject),Reject,YES,0.028085,0.0,4.0,4.0,2.0,6.0,,,
Pxd5mjwznl,2.0,Reject,2,2,1,1,2,1,0.0,Reject,Reject,YES,0.004783,0.0,0.0,0.0,0.0,,,,
MQmrcX5jnk,7.0,Accept,4,4,3,4,3,4,6.0,Accept (Poster),Accept,YES,0.008313,0.0,6.0,8.0,8.0,6.0,2.0,,
LD6B7AvkZq,5.5,Accept,3,4,3,3,4,4,3.0,Reject,Reject,NO,0.00733,0.0,4.0,4.0,2.0,2.0,,,
8KcjEygedc,7.0,Accept,4,4,3,4,3,4,7.5,Accept (Poster),Accept,YES,0.00813,0.0,8.0,8.0,6.0,8.0,,,
4Ha2srdhPN,7.0,Accept,3,4,3,3,4,4,4.5,Reject,Reject,NO,0.008009,0.0,2.0,8.0,2.0,6.0,,,
1j0ormf8uI,7.0,Accept,3,4,3,4,3,4,5.2,Accept (Poster),Accept,YES,0.008498,0.0,8.0,4.0,6.0,6.0,2.0,,
WwDNiisZQm,7.0,Accept,3,4,4,4,4,4,4.0,Accept (Poster),Accept,YES,0.008692,0.0,6.0,2.0,4.0,4.0,,,
Rip3EJc4nx,4.0,Reject,3,3,2,2,3,3,4.0,Reject,Reject,YES,0.008103,0.0,4.0,4.0,4.0,4.0,,,
M14YpuTejd,7.0,Accept,3,4,3,3,4,4,4.0,Withdrawn (treated as Reject),Reject,NO,0.008033,0.0,6.0,2.0,4.0,,,,
DAPcmFcqgd,3.0,Reject,2,3,2,2,3,2,1.0,Reject,Reject,YES,0.006482,0.0,2.0,2.0,0.0,0.0,,,
iDki7djO2K,5.5,Accept,4,4,3,3,4,4,4.0,Reject,Reject,NO,0.007252,0.0,4.0,4.0,4.0,4.0,,,
Ksvv8x00eo,6.5,Accept,4,4,3,3,3,4,3.5,Withdrawn (treated as Reject),Reject,NO,0.023637,0.0,6.0,2.0,4.0,2.0,,,
2PJkG6aV4A,7.0,Accept,4,4,4,3,4,4,6.0,Reject,Reject,NO,0.020428,0.0,4.0,8.0,8.0,4.0,,,
fD9YRHazW3,6.0,Accept,4,4,3,3,4,4,5.5,Accept (Poster),Accept,NO,0.007685,0.0,2.0,8.0,6.0,6.0,,,
JdVTWjjnR6,5.5,Accept,3,4,2,3,3,3,5.0,Reject,Reject,YES,0.008626,0.0,6.0,6.0,4.0,6.0,6.0,2.0,
8ZQ0HjBOEc,4.5,Reject,3,4,2,3,2,3,4.0,Reject,Reject,NO,0.009789,0.0,2.0,4.0,4.0,6.0,,,
5SQo2E9Ujj,2.0,Reject,2,3,1,2,2,2,0.0,Withdrawn (treated as Reject),Reject,YES,0.011474,0.0,0.0,0.0,0.0,0.0,0.0,,
dbYvP2BKCM,5.5,Accept,4,4,3,3,4,4,3.5,Reject,Reject,YES,0.054657,0.0,4.0,2.0,6.0,2.0,,,
SsUjdSVdUl,7.0,Accept,3,3,4,4,3,4,5.0,Accept (Poster),Accept,YES,0.009219,0.0,6.0,4.0,4.0,6.0,,,
YuxgSGFaqb,4.5,Reject,3,4,2,2,3,3,6.0,Accept (Oral),Accept,NO,0.007729,0.0,6.0,8.0,4.0,6.0,,,
rBj2iVyrhh,6.0,Accept,3,4,3,3,3,4,2.0,Reject,Reject,NO,0.008655,0.0,2.0,2.0,2.0,2.0,,,
VSDV0SWwOC,6.5,Accept,4,4,3,3,3,4,6.67,Accept (Poster),Accept,YES,0.009665,0.0,8.0,4.0,8.0,,,,
beV5wMTRIq,4.0,Reject,2,4,2,2,3,3,2.0,Withdrawn (treated as Reject),Reject,YES,0.008636,0.0,2.0,2.0,2.0,2.0,,,
Yo7eG3lC3y,5.5,Accept,3,4,3,3,4,3,4.5,Reject,Reject,NO,0.008041,0.0,6.0,6.0,4.0,2.0,,,
nxmBUymHIQ,5.5,Accept,3,3,3,3,4,3,4.5,Reject,Reject,YES,0.008794,0.0,4.0,2.0,4.0,8.0,,,
Rd0yhdfueL,2.5,Reject,2,3,1,2,2,2,1.0,Reject,Reject,YES,0.005985,0.0,2.0,0.0,0.0,2.0,,,
